UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,ELECTORS - ORDINARY VOTERS,ELECTORS - ABSENT VOTERS,ELECTORS - POLICE,ELECTORS - MILITARY
P.126_N.01,NEGERI SEMBILAN,P.126,JELEBU,N.01,CHENNAH,14590,14557,2,31,0
P.126_N.02,NEGERI SEMBILAN,P.126,JELEBU,N.02,PERTANG,12923,12906,1,16,0
P.126_N.03,NEGERI SEMBILAN,P.126,JELEBU,N.03,SUNGAI LUI,19845,18712,0,1133,0
P.126_N.04,NEGERI SEMBILAN,P.126,JELEBU,N.04,KLAWANG,13241,13010,2,229,0
P.127_N.05,NEGERI SEMBILAN,P.127,JEMPOL,N.05,SERTING,30383,30090,1,292,0
P.127_N.06,NEGERI SEMBILAN,P.127,JEMPOL,N.06,PALONG,23534,23534,0,0,0
P.127_N.07,NEGERI SEMBILAN,P.127,JEMPOL,N.07,JERAM PADANG,16438,16420,2,16,0
P.127_N.08,NEGERI SEMBILAN,P.127,JEMPOL,N.08,BAHAU,25898,25815,1,82,0
P.128_N.09,NEGERI SEMBILAN,P.128,SEREMBAN,N.09,LENGGENG,27782,27722,5,55,0
P.128_N.10,NEGERI SEMBILAN,P.128,SEREMBAN,N.10,NILAI,43372,42962,9,375,26
P.128_N.11,NEGERI SEMBILAN,P.128,SEREMBAN,N.11,LOBAK,23176,23170,6,0,0
P.128_N.12,NEGERI SEMBILAN,P.128,SEREMBAN,N.12,TEMIANG,13015,12033,2,980,0
P.128_N.13,NEGERI SEMBILAN,P.128,SEREMBAN,N.13,SIKAMAT,32901,32728,7,166,0
P.128_N.14,NEGERI SEMBILAN,P.128,SEREMBAN,N.14,AMPANGAN,21157,21150,7,0,0
P.129_N.15,NEGERI SEMBILAN,P.129,KUALA PILAH,N.15,JUASSEH,13497,13495,2,0,0
P.129_N.16,NEGERI SEMBILAN,P.129,KUALA PILAH,N.16,SERI MENANTI,10076,10054,0,22,0
P.129_N.17,NEGERI SEMBILAN,P.129,KUALA PILAH,N.17,SENALING,9895,9894,1,0,0
P.129_N.18,NEGERI SEMBILAN,P.129,KUALA PILAH,N.18,PILAH,17764,17463,1,300,0
P.129_N.19,NEGERI SEMBILAN,P.129,KUALA PILAH,N.19,JOHOL,12309,12290,0,19,0
P.130_N.20,NEGERI SEMBILAN,P.130,RASAH,N.20,LABU,31221,31201,6,14,0
P.130_N.21,NEGERI SEMBILAN,P.130,RASAH,N.21,BUKIT KEPAYANG,47538,46884,15,639,0
P.130_N.22,NEGERI SEMBILAN,P.130,RASAH,N.22,RAHANG,19991,18492,3,41,1455
P.130_N.23,NEGERI SEMBILAN,P.130,RASAH,N.23,MAMBAU,29758,29728,8,22,0
P.130_N.24,NEGERI SEMBILAN,P.130,RASAH,N.24,SEREMBAN JAYA,32126,32121,5,0,0
P.131_N.25,NEGERI SEMBILAN,P.131,REMBAU,N.25,PAROI,62198,61336,16,143,703
P.131_N.26,NEGERI SEMBILAN,P.131,REMBAU,N.26,CHEMBONG,25921,25586,2,333,0
P.131_N.27,NEGERI SEMBILAN,P.131,REMBAU,N.27,RANTAU,33580,32409,3,28,1140
P.131_N.28,NEGERI SEMBILAN,P.131,REMBAU,N.28,KOTA,16587,16571,3,13,0
P.132_N.29,NEGERI SEMBILAN,P.132,PORT DICKSON,N.29,CHUAH,15113,15081,2,30,0
P.132_N.30,NEGERI SEMBILAN,P.132,PORT DICKSON,N.30,LUKUT,27257,27231,0,26,0
P.132_N.31,NEGERI SEMBILAN,P.132,PORT DICKSON,N.31,BAGAN PINANG,28277,19596,1,27,8653
P.132_N.32,NEGERI SEMBILAN,P.132,PORT DICKSON,N.32,LINGGI,20522,18250,1,42,2229
P.132_N.33,NEGERI SEMBILAN,P.132,PORT DICKSON,N.33,SRI TANJUNG,19523,19152,2,369,0
P.133_N.34,NEGERI SEMBILAN,P.133,TAMPIN,N.34,GEMAS,29499,24843,1,36,4619
P.133_N.35,NEGERI SEMBILAN,P.133,TAMPIN,N.35,GEMENCHEH,24692,24661,2,29,0
P.133_N.36,NEGERI SEMBILAN,P.133,TAMPIN,N.36,REPAH,27457,27132,2,323,0
