UNIQUE CODE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALE ELECTORS,FEMALE ELECTORS,18 - 20,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 AND ABOVE
P.078_N.01,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,26991,13683,13308,1524,5192,6081,4530,3785,3370,1743,565,201
P.078_N.02,P.078,CAMERON HIGHLANDS,N.02,JELAI,19939,10060,9879,1842,5138,4569,3494,2372,1307,837,327,53
P.079_N.03,P.079,LIPIS,N.03,PADANG TENGKU,19773,9957,9816,1239,4452,5095,3282,2441,2050,913,260,41
P.079_N.04,P.079,LIPIS,N.04,CHEKA,16826,8619,8207,1000,3518,4031,2706,2185,1914,918,426,128
P.079_N.05,P.079,LIPIS,N.05,BENTA,10817,5470,5347,510,1854,2299,1900,1610,1424,830,321,69
P.080_N.06,P.080,RAUB,N.06,BATU TALAM,19733,9825,9908,1009,3760,5264,3402,2394,2436,1077,313,78
P.080_N.07,P.080,RAUB,N.07,TRAS,38259,19560,18699,1914,6907,7919,6739,5602,4822,3014,1159,183
P.080_N.08,P.080,RAUB,N.08,DONG,17224,8672,8552,867,2995,4150,3047,2617,2116,1001,353,78
P.081_N.09,P.081,JERANTUT,N.09,TAHAN,21279,10620,10659,1486,4442,5060,4294,2835,1665,1134,319,44
P.081_N.10,P.081,JERANTUT,N.10,DAMAK,35611,18090,17521,2305,7850,8312,5981,4760,3677,1942,675,109
P.081_N.11,P.081,JERANTUT,N.11,PULAU TAWAR,31345,15469,15876,1803,5444,8116,7204,3666,2415,2229,429,39
P.082_N.12,P.082,INDERA MAHKOTA,N.12,BESERAH,61788,31015,30773,5347,15804,14141,10153,7683,5611,2330,608,111
P.082_N.13,P.082,INDERA MAHKOTA,N.13,SEMAMBU,63438,31619,31819,4866,15921,15101,10651,7545,6300,2455,519,80
P.083_N.14,P.083,KUANTAN,N.14,TERUNTUM,30630,15870,14760,1072,4413,5946,5138,4869,4884,3054,1016,238
P.083_N.15,P.083,KUANTAN,N.15,TANJUNG LUMPUR,39353,19437,19916,2966,9676,9549,6182,4857,3962,1661,408,92
P.083_N.16,P.083,KUANTAN,N.16,INDERAPURA,19234,9659,9575,1539,4714,4110,3246,2829,1782,771,220,23
P.084_N.17,P.084,PAYA BESAR,N.17,SUNGAI LEMBING,19300,9501,9799,1153,3638,4281,3886,2768,1816,1270,429,59
P.084_N.18,P.084,PAYA BESAR,N.18,LEPAR,26325,13003,13322,1818,5900,7150,3941,2927,3204,1121,223,41
P.084_N.19,P.084,PAYA BESAR,N.19,PANCHING,36221,18031,18190,2874,8514,8472,6772,4532,3038,1580,401,38
P.085_N.20,P.085,PEKAN,N.20,PULAU MANIS,32663,17996,14667,2405,8348,9542,6153,3312,1825,804,227,47
P.085_N.21,P.085,PEKAN,N.21,PERAMU JAYA,43040,21414,21626,3045,9733,10043,7798,5825,4084,1906,503,103
P.085_N.22,P.085,PEKAN,N.22,BEBAR,22031,11026,11005,1917,5554,5069,3824,2881,1631,803,267,85
P.085_N.23,P.085,PEKAN,N.23,CHINI,26352,12940,13412,1374,4877,8458,5336,1986,2966,1165,156,34
P.086_N.24,P.086,MARAN,N.24,LUIT,16574,8432,8142,1090,3454,3960,2929,2381,1591,833,291,45
P.086_N.25,P.086,MARAN,N.25,KUALA SENTUL,17526,8742,8784,1109,3136,3814,4035,2656,1093,1237,412,34
P.086_N.26,P.086,MARAN,N.26,CHENOR,19623,9663,9960,1168,3615,4487,3823,3124,1735,1139,467,65
P.087_N.27,P.087,KUALA KRAU,N.27,JENDERAK,14180,7030,7150,951,2821,3375,2860,1954,1237,726,211,45
P.087_N.28,P.087,KUALA KRAU,N.28,KERDAU,15350,7574,7776,855,2905,3830,2917,1960,1688,863,276,56
P.087_N.29,P.087,KUALA KRAU,N.29,JENGKA,31607,15568,16039,1889,5589,8193,7418,3381,2257,2535,336,9
P.088_N.30,P.088,TEMERLOH,N.30,MENTAKAB,38072,18869,19203,2494,8806,8964,5887,4960,4272,2026,565,98
P.088_N.31,P.088,TEMERLOH,N.31,LANCHANG,33023,16574,16449,1841,7003,8399,6317,4152,3159,1622,432,98
P.088_N.32,P.088,TEMERLOH,N.32,KUALA SEMANTAN,37814,19230,18584,2614,8747,9291,6305,4829,3710,1641,557,120
P.089_N.33,P.089,BENTONG,N.33,BILUT,24445,12760,11685,1158,4689,5137,4114,3677,3113,1744,714,99
P.089_N.34,P.089,BENTONG,N.34,KETARI,30973,15752,15221,1699,5742,6984,5632,4520,3793,1921,591,91
P.089_N.35,P.089,BENTONG,N.35,SABAI,15709,7889,7820,881,2865,3305,2917,2426,1848,1025,368,74
P.089_N.36,P.089,BENTONG,N.36,PELANGAI,16547,8295,8252,856,2863,3796,3349,2294,1729,1240,377,43
P.090_N.37,P.090,BERA,N.37,GUAI,24506,12231,12275,1417,4196,5855,5496,3233,2150,1698,419,42
P.090_N.38,P.090,BERA,N.38,TRIANG,26169,13419,12750,1626,4928,5414,4871,4056,2860,1714,621,79
P.090_N.39,P.090,BERA,N.39,KEMAYAN,26281,13392,12889,1344,5481,7895,4779,2712,2481,1306,236,47
P.091_N.40,P.091,ROMPIN,N.40,BUKIT IBAM,31443,15377,16066,1899,5972,8978,6864,2824,2802,1872,201,31
P.091_N.41,P.091,ROMPIN,N.41,MUADZAM SHAH,30184,15009,15175,1923,6330,9204,5305,2540,3431,1296,124,31
P.091_N.42,P.091,ROMPIN,N.42,TIOMAN,29296,14838,14458,2084,7060,7326,4794,3735,2711,1186,335,65
